Similarity,Ground Truth
0.5838734,1.0
0.30780548,0.0
0.28179666,0.0
0.45380223,1.0
0.46291396,1.0
0.79112124,1.0
0.41110346,0.0
0.8503826,1.0
0.56155765,0.0
0.39348948,1.0
0.57062733,1.0
0.53247803,0.0
0.35506296,0.0
0.372642,0.0
0.4413888,1.0
0.29005852,0.0
0.49643618,1.0
0.12583622,0.0
1.0243484,0.0
0.4560836,0.0
0.51829964,1.0
0.3895357,1.0
0.81132835,1.0
0.69342476,1.0
0.68628204,1.0
0.5480083,0.0
0.63845104,1.0
0.5652761,1.0
0.93231845,1.0
0.8553786,1.0
0.5844833,0.0
0.73838836,1.0
0.5216863,1.0
0.8509673,1.0
0.5534846,0.0
0.34539056,0.0
0.026396941,0.0
0.1725615,0.0
0.27042726,0.0
0.7168031,1.0
0.22960123,0.0
0.55523413,0.0
0.06859473,0.0
0.18993667,1.0
0.6057742,0.0
0.67087686,1.0
0.4799628,1.0
0.15123533,0.0
-0.30573353,0.0
0.4474191,1.0
0.7505422,1.0
0.21464741,0.0
0.5939695,1.0
-0.06973566,0.0
0.09301963,0.0
0.34797412,0.0
0.34993675,0.0
0.32466906,1.0
0.6882779,1.0
0.658821,1.0
0.2410356,0.0
0.16589339,0.0
0.46392107,1.0
0.51300657,0.0
0.7828997,1.0
0.42589664,0.0
0.94061327,1.0
0.5291058,1.0
0.4506511,1.0
0.75627744,1.0
0.38987085,0.0
0.2662931,0.0
0.2882153,0.0
0.65327394,0.0
0.6553458,1.0
0.7797876,1.0
0.665546,1.0
0.231348,0.0
0.53247124,0.0
0.7543709,1.0
0.44839042,0.0
0.48367977,1.0
0.4613111,0.0
0.6601472,1.0
0.86892533,1.0
0.8231719,1.0
0.29901296,0.0
0.11797498,0.0
0.5003991,0.0
0.29601902,0.0
0.39390695,1.0
0.36300844,0.0
0.40155643,0.0
-0.017390564,0.0
-0.09296097,0.0
0.70106494,1.0
-0.08257255,0.0
0.77504706,1.0
0.6958257,1.0
0.40051728,1.0
0.38913628,1.0
0.7643577,1.0
0.84541833,1.0
0.5993543,1.0
0.41449562,0.0
0.33752367,1.0
0.2900651,0.0
0.33606565,0.0
0.07667047,0.0
0.67568105,1.0
0.26082757,0.0
0.49966544,0.0
0.49026358,1.0
0.9231159,1.0
0.30634117,0.0
0.27744168,0.0
0.59879565,1.0
0.23168068,0.0
0.40367505,1.0
0.06363416,0.0
0.9140717,1.0
0.5457431,1.0
0.73415923,1.0
0.5526176,1.0
0.56281626,0.0
0.6021259,0.0
-0.024976661,0.0
0.6089525,1.0
0.8151665,1.0
0.9259141,1.0
0.9435391,1.0
0.9229668,1.0
0.3680984,0.0
0.6632242,1.0
0.69975734,1.0
0.10764044,0.0
0.9565335,1.0
0.65476525,1.0
0.22390382,0.0
0.6779429,0.0
0.3653925,0.0
0.19301662,0.0
0.054901414,0.0
0.49592113,0.0
0.27438942,0.0
0.18389824,0.0
0.6829634,1.0
0.14821142,0.0
0.7899244,0.0
0.7951999,1.0
0.21641164,0.0
0.19474566,0.0
0.27152866,0.0
