Similarity,Ground Truth
0.093687996,0.0
0.7714443,1.0
0.6338546,0.0
0.6643321,1.0
0.510576,0.0
0.9095952,1.0
0.7187776,1.0
0.83976465,1.0
0.63778883,1.0
0.31502628,0.0
0.5741505,1.0
0.94578826,1.0
0.44812918,1.0
-0.087026075,0.0
0.5851764,0.0
0.20541063,0.0
0.46470985,0.0
0.555983,0.0
0.74919105,1.0
0.46086863,1.0
0.6713418,0.0
0.24360982,0.0
0.77423954,1.0
0.6626447,0.0
0.10075784,0.0
0.46756843,1.0
0.4741547,0.0
0.4283377,0.0
0.27070358,0.0
0.306477,0.0
0.21860106,0.0
0.18001713,0.0
0.4253955,0.0
0.7231262,1.0
0.26274014,0.0
0.59538543,0.0
0.009857794,0.0
0.2967953,0.0
0.16752172,0.0
0.13082656,0.0
0.8167703,1.0
0.28448677,0.0
0.8880536,1.0
0.5516209,1.0
0.70311373,1.0
0.570479,1.0
0.09365521,0.0
0.38205716,0.0
0.19813006,0.0
0.6404313,1.0
0.06982468,0.0
0.4735696,0.0
0.65411115,1.0
0.867345,1.0
0.38741568,1.0
0.31861046,0.0
0.55457866,1.0
0.16449471,0.0
-0.23585708,0.0
0.17021465,0.0
0.28699043,0.0
0.18100186,0.0
0.28065985,0.0
0.67222524,1.0
-0.1974605,0.0
0.5540647,1.0
0.1297956,0.0
0.53045505,0.0
0.8249534,1.0
0.3986108,0.0
0.3799094,1.0
0.6947116,1.0
0.82485765,1.0
-0.19082005,0.0
0.7612543,1.0
0.8413681,1.0
0.62963,0.0
0.4855888,0.0
0.7741477,1.0
0.58891034,1.0
0.16441989,0.0
0.8228748,1.0
0.27687234,0.0
0.39406708,0.0
0.8058941,1.0
0.37336516,0.0
0.6877211,1.0
0.6610122,1.0
0.6581487,1.0
0.65690845,1.0
0.8234414,1.0
0.59413344,1.0
0.1740365,0.0
0.24369013,0.0
0.83099353,1.0
0.675146,0.0
0.6850458,1.0
0.52535456,0.0
-0.13106441,0.0
-0.08614162,0.0
0.32860592,1.0
-0.056836803,0.0
0.5494593,1.0
0.29484686,0.0
0.5074378,1.0
0.31134257,0.0
0.13474645,0.0
0.8384435,0.0
0.3421663,0.0
0.81451553,1.0
0.6553687,1.0
0.34664792,0.0
0.72397935,1.0
0.68947774,0.0
0.37496716,0.0
0.56447965,0.0
0.8670713,1.0
0.53761035,1.0
0.7375357,1.0
0.70055914,0.0
0.37362778,0.0
0.854758,1.0
0.7075015,1.0
0.14906406,0.0
0.6024438,1.0
0.3769114,0.0
0.28405982,0.0
0.4560434,0.0
0.7165288,1.0
0.43763596,1.0
0.63871866,1.0
0.5676188,0.0
0.29427892,0.0
0.9668535,1.0
0.39725506,0.0
0.85954046,1.0
0.33927673,0.0
0.88883084,1.0
0.5892675,1.0
0.045446027,0.0
0.81567496,1.0
0.39040327,0.0
0.20315659,0.0
0.35310233,0.0
0.7803415,1.0
0.6052593,1.0
1.0112215,1.0
0.599189,0.0
0.2910583,0.0
0.86713505,1.0
0.06280095,0.0
0.13562307,0.0
0.72697335,1.0
0.38138264,0.0
0.46508488,0.0
0.42225152,0.0
0.22005609,0.0
0.35372427,0.0
0.823182,1.0
0.74280494,1.0
0.20454386,0.0
0.7677119,1.0
0.7272105,1.0
0.69117737,1.0
